
2025/03/01 (18:20:08) | DEBUG: Writing new config file
2025/03/01 (18:20:08) | INFO: Quitting! Runtime: 00:01:42

2025/03/01 (18:20:30) | ===> btop++ v.1.4.0
2025/03/01 (18:20:30) | INFO: Logger set to DEBUG
2025/03/01 (18:20:30) | DEBUG: Using locale C.UTF-8
2025/03/01 (18:20:30) | INFO: Running on /dev/pts/5
2025/03/01 (18:20:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/01 (18:20:30) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/01 (18:20:30) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/01 (18:20:30) | DEBUG: Shared::init() : Initialized.
2025/03/01 (18:27:11) | INFO: Quitting! Runtime: 00:06:41

2025/03/01 (18:33:30) | ===> btop++ v.1.4.0
2025/03/01 (18:33:30) | INFO: Logger set to DEBUG
2025/03/01 (18:33:30) | DEBUG: Using locale C.UTF-8
2025/03/01 (18:33:30) | INFO: Running on /dev/pts/6
2025/03/01 (18:33:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/01 (18:33:30) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/01 (18:33:30) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/01 (18:33:30) | DEBUG: Shared::init() : Initialized.
2025/03/01 (18:34:32) | INFO: Quitting! Runtime: 00:01:02

2025/03/01 (18:36:27) | ===> btop++ v.1.4.0
2025/03/01 (18:36:27) | INFO: Logger set to DEBUG
2025/03/01 (18:36:27) | DEBUG: Using locale C.UTF-8
2025/03/01 (18:36:27) | INFO: Running on /dev/pts/5
2025/03/01 (18:36:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/01 (18:36:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/01 (18:36:27) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/01 (18:36:27) | DEBUG: Shared::init() : Initialized.
2025/03/01 (18:38:49) | DEBUG: Writing new config file
2025/03/01 (18:38:49) | INFO: Quitting! Runtime: 00:02:22

2025/03/01 (19:35:53) | ===> btop++ v.1.4.0
2025/03/01 (19:35:53) | INFO: Logger set to DEBUG
2025/03/01 (19:35:53) | DEBUG: Using locale C.UTF-8
2025/03/01 (19:35:53) | INFO: Running on /dev/pts/5
2025/03/01 (19:35:53) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver/library version mismatch
2025/03/01 (19:35:53) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/01 (19:35:53) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/01 (19:35:53) | DEBUG: Shared::init() : Initialized.

2025/03/01 (21:18:39) | ===> btop++ v.1.4.0
2025/03/01 (21:18:39) | INFO: Logger set to DEBUG
2025/03/01 (21:18:39) | DEBUG: Using locale C.UTF-8
2025/03/01 (21:18:39) | INFO: Running on /dev/pts/1
2025/03/01 (21:18:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/01 (21:18:39) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/01 (21:18:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/01 (21:18:39) | DEBUG: Shared::init() : Initialized.
2025/03/01 (21:18:43) | INFO: Quitting! Runtime: 00:00:04

